"animal","dam","sire","dist","beans","f"
618,176,42,-8,3,14
619,176,42,-8,5,5
620,176,42,-8,1,5
621,176,42,-9,3,1
622,177,43,6,10,9
623,177,43,-10,1,3
624,177,43,2,5,17
625,177,43,5,1,5
626,177,43,-10,3,10
627,177,43,-10,3,10
628,177,43,-8,5,19
629,177,43,-4,10,25
630,180,44,-1,3,13
631,180,44,1,10,3
632,180,44,2,10,15
633,180,44,2,5,12
634,180,44,8,5,4
635,180,44,6,1,3
636,180,44,2,1,5
637,180,44,6,3,6
638,182,44,-5,10,8
639,182,44,-8,1,5
640,182,44,-8,3,5
641,182,44,-9,1,1
642,182,44,9,3,9
643,182,44,5,5,12
644,182,44,3,10,17
645,182,44,0,5,10
646,183,45,10,10,18
647,183,45,-4,1,2
648,183,45,-7,1,2
649,183,45,-6,3,10
650,183,45,-5,5,2
651,183,45,5,3,7
652,183,45,2,10,1
653,183,45,-3,5,17
654,184,45,18,10,14
655,184,45,-2,5,3
656,184,45,-14,1,3
657,184,45,-9,10,3
658,184,45,-6,1,3
659,184,45,9,3,11
660,184,45,11,5,13
661,184,45,4,3,7
662,186,46,-4,10,5
663,186,46,3,1,3
664,186,46,11,10,3
665,186,46,-9,3,10
666,186,46,-10,1,9
667,186,46,-10,5,12
668,186,46,-10,5,13
669,187,46,7,1,2
670,187,46,-6,5,11
671,187,46,-6,10,7
672,187,46,-6,3,15
673,187,46,-7,3,3
674,187,46,0,1,2
675,187,46,-4,5,11
676,187,46,-5,10,3
677,191,47,1,5,25
678,191,47,6,1,5
679,191,47,4,3,8
680,191,47,-3,10,14
681,191,47,-3,1,6
682,191,47,-5,10,9
683,191,47,4,3,14
684,191,47,1,5,16
685,192,48,4,10,25
686,192,48,-10,5,12
687,192,48,8,3,3
688,192,48,10,3,7
689,192,48,11,1,4
690,192,48,-3,5,10
691,192,48,16,1,3
692,193,48,3,5,5
693,193,48,5,3,10
694,193,48,-6,3,5
695,193,48,4,10,17
696,193,48,4,1,4
697,193,48,4,1,1
698,193,48,4,10,15
699,194,48,8,1,3
700,194,48,8,1,4
701,194,48,4,5,15
702,194,48,3,5,15
703,194,48,-3,10,7
704,194,48,-5,3,6
705,194,48,-5,10,26
706,196,49,7,5,22
707,196,49,-8,1,4
708,196,49,-7,5,16
709,196,49,-5,10,28
710,196,49,0,10,1
711,196,49,5,3,16
712,51,1,NA,10,5
713,51,1,NA,1,3
714,51,1,NA,5,4
715,51,1,NA,3,15
716,52,1,NA,3,7
717,52,1,NA,1,1
718,52,1,NA,10,24
719,53,1,NA,5,11
720,53,1,NA,10,4
721,53,1,NA,1,2
722,53,1,NA,3,8
723,54,2,NA,10,28
724,54,2,NA,1,5
725,55,2,NA,3,1
726,55,2,NA,5,1
727,55,2,NA,10,11
728,56,2,NA,3,5
729,56,2,NA,10,1
730,56,2,NA,1,3
731,57,3,NA,10,15
732,57,3,NA,3,5
733,57,3,NA,1,6
734,57,3,NA,5,8
735,58,3,NA,1,2
736,58,3,NA,3,4
737,58,3,NA,10,15
738,59,3,NA,5,0
739,60,4,NA,1,3
740,60,4,NA,3,3
741,60,4,NA,10,4
742,61,4,NA,1,2
743,61,4,NA,1,1
744,61,4,NA,3,8
745,61,4,NA,3,12
746,61,4,NA,1,1
747,61,4,NA,10,4
748,61,4,NA,10,11
749,61,4,NA,5,4
750,61,4,NA,5,13
751,62,4,NA,10,33
752,62,4,NA,1,2
753,63,5,NA,3,4
754,63,5,NA,1,4
755,63,5,NA,5,12
756,63,5,NA,10,2
757,64,5,NA,5,10
758,64,5,NA,1,2
759,64,5,NA,10,6
760,65,5,NA,1,4
761,65,5,NA,10,22
762,65,5,NA,3,3
763,66,6,NA,10,5
764,66,6,NA,1,2
765,66,6,NA,5,21
766,66,6,NA,3,15
767,67,6,NA,3,8
768,67,6,NA,5,15
769,67,6,NA,10,11
770,67,6,NA,1,2
771,68,6,NA,1,3
772,68,6,NA,10,6
773,68,6,NA,3,13
774,68,6,NA,5,5
775,69,7,NA,5,15
776,69,7,NA,3,11
777,69,7,NA,1,9
778,69,7,NA,10,33
779,70,7,NA,10,0
780,70,7,NA,5,11
781,70,7,NA,3,1
782,70,7,NA,1,3
783,71,7,NA,1,3
784,71,7,NA,3,10
785,71,7,NA,10,14
786,72,8,NA,10,5
787,72,8,NA,1,5
788,73,8,NA,10,14
789,74,8,NA,1,0
790,74,8,NA,3,3
791,74,8,NA,5,2
792,74,8,NA,1,0
793,74,8,NA,3,2
794,74,8,NA,5,4
795,74,8,NA,10,12
796,75,9,NA,10,30
797,75,9,NA,1,3
798,75,9,NA,5,7
799,76,9,NA,10,5
800,76,9,NA,1,2
801,77,9,NA,5,3
802,77,9,NA,3,16
803,77,9,NA,1,1
804,77,9,NA,10,2
805,78,10,NA,5,4
806,78,10,NA,1,2
807,78,10,NA,10,11
808,78,10,NA,3,22
809,78,10,NA,5,6
810,78,10,NA,1,2
811,79,10,NA,10,3
812,79,10,NA,5,10
813,79,10,NA,3,5
814,79,10,NA,1,3
815,80,10,NA,10,27
816,80,10,NA,5,13
817,80,10,NA,3,11
818,80,10,NA,1,2
819,81,11,NA,3,5
820,81,11,NA,10,5
821,82,11,NA,10,11
822,82,11,NA,3,1
823,82,11,NA,1,4
824,83,11,NA,10,9
825,83,11,NA,5,18
826,83,11,NA,1,1
827,83,11,NA,3,9
828,84,12,NA,1,4
829,84,12,NA,3,2
830,84,12,NA,5,21
831,84,12,NA,10,22
832,85,12,NA,3,5
833,85,12,NA,10,25
834,85,12,NA,5,6
835,85,12,NA,1,2
836,86,12,NA,10,31
837,87,13,NA,3,3
838,87,13,NA,5,14
839,87,13,NA,5,2
840,87,13,NA,10,13
841,87,13,NA,10,12
842,87,13,NA,1,5
843,87,13,NA,3,3
844,87,13,NA,5,8
845,87,13,NA,10,18
846,87,13,NA,1,4
847,87,13,NA,3,7
848,90,14,NA,5,10
849,90,14,NA,10,20
850,90,14,NA,3,3
851,90,14,NA,10,6
852,90,14,NA,1,2
853,90,14,NA,1,3
854,91,14,NA,10,20
855,91,14,NA,5,2
856,91,14,NA,1,1
857,92,14,NA,3,4
858,92,14,NA,1,3
859,92,14,NA,10,1
860,92,14,NA,5,19
861,96,16,NA,1,3
862,96,16,NA,3,3
863,96,16,NA,3,11
864,96,16,NA,3,7
865,96,16,NA,5,12
866,96,16,NA,5,11
867,96,16,NA,5,7
868,96,16,NA,10,28
869,96,16,NA,10,6
870,96,16,NA,10,5
871,96,16,NA,1,7
872,97,16,NA,10,15
873,97,16,NA,10,25
874,97,16,NA,5,19
875,97,16,NA,3,10
876,97,16,NA,1,2
877,97,16,NA,1,3
878,97,16,NA,3,12
879,97,16,NA,5,6
880,98,16,NA,10,26
881,98,16,NA,1,4
882,100,17,NA,1,5
883,100,17,NA,5,1
884,101,17,NA,3,9
885,101,17,NA,10,26
886,101,17,NA,10,14
887,101,17,NA,5,23
888,101,17,NA,1,2
889,101,17,NA,1,5
890,105,19,NA,10,21
891,105,19,NA,1,4
892,105,19,NA,3,8
893,105,19,NA,5,8
894,106,19,NA,10,15
895,106,19,NA,5,19
896,106,19,NA,3,7
897,106,19,NA,1,6
898,107,19,NA,5,7
899,107,19,NA,1,5
900,108,20,NA,1,6
901,108,20,NA,3,7
902,108,20,NA,1,1
903,108,20,NA,5,6
904,108,20,NA,10,1
905,108,20,NA,10,18
906,109,20,NA,5,11
907,109,20,NA,10,11
908,109,20,NA,3,6
909,109,20,NA,1,0
910,109,20,NA,10,12
911,109,20,NA,1,3
912,109,20,NA,1,4
913,109,20,NA,5,12
914,109,20,NA,3,16
915,110,20,NA,4,5
916,110,20,NA,5,9
917,110,20,NA,10,16
918,110,20,NA,10,3
919,110,20,NA,10,7
920,110,20,NA,5,11
921,110,20,NA,1,5
922,110,20,NA,1,4
923,110,20,NA,1,3
924,110,20,NA,3,8
925,110,20,NA,3,10
926,110,20,NA,3,13
927,111,21,NA,10,7
928,111,21,NA,1,5
929,111,21,NA,3,2
930,112,21,NA,5,13
931,112,21,NA,10,6
932,112,21,NA,3,12
933,112,21,NA,1,7
934,112,21,NA,5,2
935,114,22,NA,1,1
936,114,22,NA,5,19
937,114,22,NA,10,1
938,114,22,NA,3,6
939,114,22,NA,1,0
940,115,22,NA,5,4
941,115,22,NA,10,3
942,115,22,NA,3,5
943,116,22,NA,10,2
944,116,22,NA,5,18
945,116,22,NA,3,9
946,116,22,NA,1,4
947,116,22,NA,1,2
948,116,22,NA,3,8
949,116,22,NA,3,3
950,116,22,NA,10,27
951,116,22,NA,10,2
952,116,22,NA,1,2
953,116,22,NA,5,5
954,116,22,NA,5,13
955,117,23,NA,1,4
956,117,23,NA,10,11
957,119,23,NA,10,24
958,119,23,NA,3,16
959,119,23,NA,5,21
960,119,23,NA,1,7
961,119,23,NA,1,4
962,120,24,NA,10,28
963,120,24,NA,5,18
964,120,24,NA,3,12
965,120,24,NA,1,5
966,120,24,NA,1,3
967,121,24,NA,5,17
968,121,24,NA,3,7
969,121,24,NA,1,1
970,121,24,NA,10,5
971,122,24,NA,3,11
972,122,24,NA,10,4
973,122,24,NA,1,4
974,124,25,NA,1,6
975,124,25,NA,5,2
976,124,25,NA,10,21
977,124,25,NA,3,13
978,125,25,NA,1,10
979,125,25,NA,3,17
980,125,25,NA,5,14
981,126,26,NA,5,7
982,126,26,NA,3,19
983,126,26,NA,10,22
984,127,26,NA,1,5
985,127,26,NA,3,8
986,127,26,NA,5,4
987,127,26,NA,10,15
988,127,26,NA,1,1
989,127,26,NA,3,13
990,127,26,NA,5,10
991,127,26,NA,1,3
992,127,26,NA,10,12
993,127,26,NA,5,14
994,128,26,NA,1,4
995,128,26,NA,3,12
996,128,26,NA,5,1
997,129,27,NA,1,4
998,129,27,NA,10,10
999,129,27,NA,5,5
1000,129,27,NA,3,11
1001,134,28,NA,10,29
1002,134,28,NA,1,5
1003,134,28,NA,5,20
1004,134,28,NA,3,8
1005,135,29,NA,5,23
1006,135,29,NA,3,11
1007,135,29,NA,1,4
1008,135,29,NA,10,16
1009,136,29,NA,1,1
1010,136,29,NA,5,14
1011,136,29,NA,10,16
1012,137,29,NA,5,10
1013,137,29,NA,10,2
1014,137,29,NA,1,4
1015,137,29,NA,3,2
1016,138,30,NA,3,10
1017,138,30,NA,5,6
1018,138,30,NA,10,14
1019,138,30,NA,1,5
1020,139,30,NA,10,3
1021,139,30,NA,5,21
1022,139,30,NA,3,5
1023,139,30,NA,1,1
1024,141,31,NA,3,8
1025,141,31,NA,1,2
1026,141,31,NA,10,11
1027,141,31,NA,5,15
1028,142,31,NA,1,2
1029,142,31,NA,10,11
1030,143,31,NA,1,1
1031,143,31,NA,10,12
1032,143,31,NA,5,19
1033,143,31,NA,1,1
1034,143,31,NA,3,1
1035,144,32,NA,3,1
1036,144,32,NA,1,1
1037,144,32,NA,5,8
1038,145,32,NA,3,9
1039,145,32,NA,5,8
1040,145,32,NA,10,1
1041,145,32,NA,1,3
1042,147,33,NA,3,13
1043,147,33,NA,1,8
1044,147,33,NA,10,18
1045,147,33,NA,5,9
1046,149,33,NA,3,12
1047,149,33,NA,10,19
1048,149,33,NA,5,12
1049,150,34,NA,10,29
1050,150,34,NA,5,19
1051,150,34,NA,3,5
1052,151,34,NA,5,5
1053,151,34,NA,3,1
1054,151,34,NA,10,9
1055,152,34,NA,3,3
1056,152,34,NA,1,5
1057,152,34,NA,3,0
1058,152,34,NA,10,6
1059,152,34,NA,10,11
1060,152,34,NA,5,13
1061,152,34,NA,5,6
1062,153,35,NA,1,3
1063,153,35,NA,3,16
1064,153,35,NA,3,15
1065,153,35,NA,5,8
1066,153,35,NA,10,3
1067,153,35,NA,1,6
1068,153,35,NA,5,12
1069,153,35,NA,1,1
1070,153,35,NA,10,7
1071,154,35,NA,10,8
1072,156,36,NA,5,12
1073,156,36,NA,1,3
1074,156,36,NA,10,27
1075,156,36,NA,10,2
1076,156,36,NA,10,16
1077,156,36,NA,1,4
1078,156,36,NA,3,12
1079,156,36,NA,3,2
1080,156,36,NA,5,18
1081,157,36,NA,1,3
1082,157,36,NA,5,10
1083,157,36,NA,3,8
1084,157,36,NA,1,7
1085,158,36,NA,5,20
1086,158,36,NA,10,3
1087,158,36,NA,1,4
1088,159,37,NA,1,3
1089,159,37,NA,10,15
1090,159,37,NA,5,14
1091,159,37,NA,3,7
1092,162,38,NA,10,4
1093,162,38,NA,1,4
1094,163,38,NA,3,11
1095,163,38,NA,1,1
1096,163,38,NA,10,26
1097,163,38,NA,5,17
1098,164,38,NA,3,8
1099,164,38,NA,5,12
1100,164,38,NA,1,6
1101,164,38,NA,10,8
1102,165,39,NA,10,22
1103,165,39,NA,3,7
1104,166,39,NA,1,6
1105,166,39,NA,1,4
1106,166,39,NA,5,11
1107,166,39,NA,3,3
1108,166,39,NA,3,10
1109,166,39,NA,5,1
1110,166,39,NA,10,15
1111,166,39,NA,10,6
1112,167,39,NA,5,4
1113,167,39,NA,3,11
1114,167,39,NA,1,5
1115,169,40,NA,3,12
1116,169,40,NA,3,12
1117,169,40,NA,10,12
1118,170,40,NA,10,14
1119,170,40,NA,1,6
1120,172,41,NA,5,11
1121,172,41,NA,10,30
1122,172,41,NA,3,7
1123,172,41,NA,1,4
1124,174,42,NA,10,17
1125,174,42,NA,1,6
1126,174,42,NA,5,7
1127,174,42,NA,3,12
1128,176,42,NA,1,2
1129,176,42,NA,3,10
1130,176,42,NA,10,25
1131,176,42,NA,5,19
1132,177,43,NA,1,3
1133,177,43,NA,5,17
1134,177,43,NA,10,4
1135,177,43,NA,3,9
1136,177,43,NA,3,2
1137,177,43,NA,10,24
1138,180,44,NA,10,17
1139,180,44,NA,1,5
1140,180,44,NA,3,15
1141,180,44,NA,5,17
1142,181,44,NA,3,8
1143,181,44,NA,5,13
1144,181,44,NA,10,15
1145,181,44,NA,1,5
1146,182,44,NA,5,15
1147,182,44,NA,10,15
1148,182,44,NA,1,5
1149,182,44,NA,3,8
1150,183,45,NA,5,6
1151,183,45,NA,10,20
1152,183,45,NA,3,5
1153,183,45,NA,1,5
1154,184,45,NA,1,5
1155,184,45,NA,10,15
1156,184,45,NA,5,22
1157,184,45,NA,3,9
1158,185,45,NA,10,27
1159,185,45,NA,10,24
1160,185,45,NA,5,14
1161,185,45,NA,3,10
1162,185,45,NA,5,18
1163,185,45,NA,3,11
1164,185,45,NA,1,0
1165,185,45,NA,10,20
1166,185,45,NA,1,1
1167,185,45,NA,1,3
1168,186,46,NA,10,29
1169,186,46,NA,5,19
1170,186,46,NA,3,10
1171,186,46,NA,1,4
1172,187,46,NA,10,8
1173,187,46,NA,5,9
1174,188,46,NA,10,32
1175,188,46,NA,1,9
1176,192,48,NA,1,2
1177,193,48,NA,5,14
1178,193,48,NA,10,7
1179,193,48,NA,1,5
1180,193,48,NA,3,3
1181,194,48,NA,1,6
1182,194,48,NA,10,18
1183,196,49,NA,10,27
1184,196,49,NA,5,13
1185,197,49,NA,1,3
1186,197,49,NA,1,3
1187,197,49,NA,3,4
1188,197,49,NA,3,12
1189,197,49,NA,10,19
1190,197,49,NA,5,11
1191,197,49,NA,3,12
1192,197,49,NA,5,2
1193,197,49,NA,5,16
1194,197,49,NA,10,16
1195,197,49,NA,10,28
1196,197,49,NA,1,6
1197,199,50,NA,10,11
1198,199,50,NA,3,20
1199,199,50,NA,5,16
1200,199,50,NA,1,1
1201,199,50,NA,1,4
1202,199,50,NA,10,12
1203,200,50,NA,5,24
1204,200,50,NA,10,30
1205,200,50,NA,3,16
1206,200,50,NA,1,2
